,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,checkedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
9,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,1,0.0,false,false,false,false,false,false,01/01/2022,HighriskPeasant,dry,5000.0,83,0.0,1.0,true,0.7,0.7,false,2712,1.0,1.0,1.0,1.0,1.0,1.0,1486935.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,0,0,10,1,20,678,0,01/05/2022,null,ñame,
14,PeasantFamily_10,[],NONE,NONE,0,null,NONE,PRICE_LIST,LEISURE,null,2,0.0,false,false,false,false,false,false,02/01/2022,HighriskPeasant,dry,5000.0,85,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1481935.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,0,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
26,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,3,0.0,false,false,false,false,false,true,03/01/2022,HighriskPeasant,dry,5000.0,87,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1476635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
37,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,4,0.0,false,false,false,false,false,true,04/01/2022,HighriskPeasant,dry,5000.0,89,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1471635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
44,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,5,0.0,false,false,false,false,false,true,05/01/2022,HighriskPeasant,dry,5000.0,91,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1466635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
59,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,6,0.0,false,false,false,false,false,true,06/01/2022,HighriskPeasant,dry,5000.0,93,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1461635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
68,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,7,0.0,false,true,false,false,false,true,07/01/2022,HighriskPeasant,dry,5000.0,95,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1456635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
78,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,8,0.0,false,false,false,false,false,true,08/01/2022,HighriskPeasant,dry,5000.0,97,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1451635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
87,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,9,0.0,false,false,false,false,false,true,09/01/2022,HighriskPeasant,dry,5000.0,99,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1446635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
98,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,10,0.0,false,false,false,false,false,true,10/01/2022,HighriskPeasant,dry,5000.0,101,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1441635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
109,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,11,0.0,false,false,false,false,false,true,11/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1436635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
118,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,12,0.0,false,false,false,false,false,true,12/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1431635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
127,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,13,0.0,false,false,false,false,false,true,13/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1426635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
137,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,14,0.0,false,true,false,false,false,true,14/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1421635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
149,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,15,0.0,false,false,false,false,false,true,15/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1416635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
159,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,16,0.0,false,false,false,false,false,true,16/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1411635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
168,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,17,0.0,false,false,false,false,false,true,17/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1406635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
177,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,18,0.0,false,false,false,false,false,true,18/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1401635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
186,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,19,0.0,false,false,false,false,false,true,19/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1396635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
195,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,20,0.0,false,false,false,false,false,true,20/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1391635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
202,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,LEISURE,NONE,21,0.0,false,true,false,false,false,true,21/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1386635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
206,PeasantFamily_10,[],NONE,NONE,0,null,NONE,NONE,NONE,NONE,22,24.0,true,true,false,false,false,true,22/01/2022,HighriskPeasant,dry,5000.0,100,0.0,1.0,true,0.7,0.7,true,2712,1.0,1.0,1.0,1.0,1.0,1.0,1386635.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,100,0,10,1,20,678,0,01/05/2022,null,ñame,farmer
